Year,Return
1928,0.3788
1929,-0.1190
1930,-0.2848
1931,-0.4706
1932,-0.1477
1933,0.4407
1934,-0.0471
1935,0.4136
1936,0.2792
1937,-0.3859
1938,0.2454
1939,-0.0517
1940,-0.1508
1941,-0.1786
1942,0.1242
1943,0.1944
1944,0.1379
1945,0.3072
1946,-0.1186
1947,0
1948,-0.0065
1949,0.1046
1950,0.2167
1951,0.1634
1952,0.1177
1953,-0.0662
1954,0.4502
1955,0.2640
1956,0.0261
1957,-0.1431
1958,0.3805
1959,0.0847
1960,-0.0297
1961,0.2312
1962,-0.1180
1963,0.1889
1964,0.1296
1965,0.0906
1966,-0.1309
1967,0.2009
1968,0.0766
1969,-0.1136
1970,0.0009
1971,0.1078
1972,0.1563
1973,-0.1736
1974,-0.2971
1975,0.3154
1976,0.1914
1977,-0.1150
1978,0.0106
1979,0.1230
1980,0.2577
1981,-0.0973
1982,0.1476
1983,0.1727
1984,0.0140
1985,0.2633
1986,0.1462
1987,0.0202
1988,0.1240
1989,0.2725
1990,-0.0655
1991,0.2630
1992,0.0446
1993,0.0705
1994,-0.0153
1995,0.3411
1996,0.2026
1997,0.3100
1998,0.2666
1999,0.1952
2000,-0.1013
2001,-0.1304
2002,-0.2336
2003,0.2638
2004,0.0899
2005,0.0300
2006,0.1361
2007,0.0352
2008,-0.3848
2009,0.2345
2010,0.1278
2011,-0.0032
2012,0.1340
2013,0.2960
2014,0.1139
2015,-0.0072
2016,0.0953
2017,0.1941
2018,-0.0623
2019,0.2887
2020,0.1625
2021,0.2689
2022,-0.1944
2023,0.1153
